1. Grama Niladhari Division,2. Gender,3. Age of the child (Years),4. Weight of the child (kg):,5. How would you rate your child’s Overall Academic performances? [.],6. Number of people who live in your household,7. What animal protein sources do you give your child the most?,8. Is seafood available frequently in your area?,9. Does your child eat freshwater fish?,"9. (A) If Yes, mention the most preferred freshwater fish type of the child.","9. (B) If no, what is the reason?","9. (C) If your child hesitates to eat freshwater fish, what are the methods you used to encourage/improve their consumption usually?",10. Why does your child prefer freshwater fish?,11. What is the reason for including freshwater fish in your child’s diet?,12. Has the amount of freshwater fish your family  consumed changed over the last 3 years?,"13. If changed, what is the reason?",14. Have you ever received any guidance or recommendation from a healthcare professional regarding freshwater fish consumption of your child?,15. Have you ever limited your child’s freshwater fish consumption due to any reason?,"16. If Yes, what is the reason?","17. “Freshwater fish is a healthy source of animal protein and provide
other important nutrients for children.”",18. How often does your child eat freshwater fish?,"19. When the child eats freshwater fish, what is the average amount per
day?",20. How many pieces the child eats per meal?,21.What is your child’s favorite way of preparing freshwater fish?,22.What type of freshwater fish usually purchase in your household and how much per month? [Tilapia],22.What type of freshwater fish usually purchase in your household and how much per month? [Korali],22.What type of freshwater fish usually purchase in your household and how much per month? [Hunga],22.What type of freshwater fish usually purchase in your household and how much per month? [Loolla],22.What type of freshwater fish usually purchase in your household and how much per month? [Pethiya],22.What type of freshwater fish usually purchase in your household and how much per month? [Aandha],22.What type of freshwater fish usually purchase in your household and how much per month? [Kawayya],22.What type of freshwater fish usually purchase in your household and how much per month? [Ankutta],22.What type of freshwater fish usually purchase in your household and how much per month? [Magura],22.What type of freshwater fish usually purchase in your household and how much per month? [Karadu issa],22.What type of freshwater fish usually purchase in your household and how much per month? [Carp Spp.],22.What type of freshwater fish usually purchase in your household and how much per month? [Other],"22. (b) If you consume fish other than the above-mentioned species, please mention it here.",23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Dried fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Smoked fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Other],"23. (b) If you consume fish product other than the above-mentioned processed product, please mention it here.",24. What are the barriers to increasing freshwater fish consumption?,25. Where do you usually get the fish from?,"26. Have you noticed any allergies symptoms of your child after eating
Freshwater fish?","27. If Yes, please mention the fish species/s","28. If Yes, which symptoms have you observed?
(You can select more than one option)"
rambewa,male,8,23,Excellent,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,1,Curry (Chilled),,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,No purchasing,,Expensive,Delivery vehicles,No,,
pandukabhayapura,female,4,11,Good,5,Fish,No,Yes,Not mentioned,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,Yes,No,,Neither agree nor disagree,Daily,One meal,1,Fried fish,,,,,,,,,,,,,,,,,,Less fishing these days,Directly from fishermen,No,,
katupuliyankulama,male,10,21,Good,1,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Theppili ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)","As a food habit, Awareness of nutritional quality","Nutritional benefits, Freshness, Readily available",No change,,No,No,,Agree,Twice a week,One meal,2,Curry (Chilled),More than 6 kg,,,4 - 6 kg,,,,,,,,,,Less than 0.5 kg,No purchasing,,,"Fewer places to purchase, Expensive","Delivery vehicles, Fair",No,,
kandurugasdamana,male,4,14.7,Poor,4,Fish,Not mentioned ,Yes,Not mentioned,,Involving child in choosing or cooking the fish,Not mentioned ,Not mentioned ,No change,,Maybe,No,,Agree,Once a week,Three meals,2,Curry (With coconut milk),Less than 2 kg,,,,,,,,,,,,,No purchasing,No purchasing,,,Fewer places to purchase,Delivery vehicles,No,,
kandurugasdamana,female,4,12.5,Very Good,not  mentioned,Eggs,Yes,Yes,Tilapia,,Try different recipes with different flavors,Texture,Health benefits,Decreased,,No,No,,Neither agree nor disagree,Few times a month,One meal,2,Fried fish,2 - 4 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Fewer places to purchase,Directly from fishermen,No,,
kandurugasdamana,female,5,14,Very Good,4,Fish,No,Yes,Not mentioned,,,As a food habit,Nutritional benefits,Increased,,No,No,,Strongly agree,Twice a week,Three meals,2,Curry (Chilled),,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
pallankulama,male,9,21,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Theppili,,Explaining the benefits of eating fish,Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Once a week,Two meals,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,No,,
pandukabhayapura,male,8,not mentioned,Very Good,not  mentioned,"Fish, Eggs",No,Yes,Tilapia ,,Involving child in choosing or cooking the fish,As a food habit,As a habit,No change,,No,No,,Agree,Twice a week,Two meals,2,"Curry (Chilled), Fried fish",2 - 4 kg,,,2 - 4 kg,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,No,,
mahadivulwewa,male,9,28,Good,6,Fish,Yes,Yes,Tilapia ,,Try different recipes with different flavors,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (With coconut milk),Less than 2 kg,,,Less than 2 kg,Less than 2 kg,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,9,20,not mentioned,4,Fish,No,Yes,Not mentioned,,Serve with their favorite foods,Milder taste,Nutritional benefits,Decreased,,No,No,,Strongly agree,Few times a month,Three meals,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
not mentioned,male,9,not mentioned,not mentioned,not  mentioned,Fish,No,Yes,Korali,,,As a food habit,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,2,"Curry (Chilled), Fried fish",,2 - 4 kg,,,,,,,,,,,,,,1 - 1.5 kg,,Expensive,Directly from fishermen,No,,
mahawewa,female,8,20.2,Very Good,3,Fish,No,Yes,Not mentioned,,,As a food habit,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Once a week,Two meals,2,Fried fish,4 - 6 kg,,,,,,,,,,,,,,,More than 2 kg,,Expensive,Not mentioned ,No,,
doramadalawa,male,9,22,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Involving child in choosing or cooking the fish","Milder taste, As a food habit","Freshness, Readily available",Increased,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Fish yield is low,Directly from fishermen,Yes,,
rambewa,male,9,22,not mentioned,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Try different recipes with different flavors, Explaining the benefits of eating fish",Awareness of nutritional quality,"Nutritional benefits, Cheaper than other protein sources",No change,,Maybe,No,,Agree,3-4 times a week,One meal,2,"Curry (Chilled), Fried fish",Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,0.5 - 1 kg,,,,Expensive,"Fish stall, Directly from fishermen",No,,
katupuliyankulama,male,9,21,Fair,3,Fish,Yes,Yes,Theppili ,,Serve with their favorite foods,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,2,Fried fish,2 - 4 kg,,,,,,,,,,,2 - 4 kg,Theppili ,,,0.5 - 1 kg,,Expensive,Delivery vehicles,No,,
doramadalawa,female,10,25,Fair,4,Eggs,Maybe,Yes,Theppili ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Freshness,No change,,No,No,,Agree,Once a week,Two meals,1,Curry (With coconut milk),,,,,More than 6 kg,,,,,,,,,1 - 1.5 kg,1.5 - 2 kg,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,female,5,15.5,Very Good,5,Eggs,Yes,Yes,Theppili ,,Involving child in choosing or cooking the fish,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,,,,,Fewer places to purchase,Delivery vehicles,No,,
kandurugasdamana,female,5,not mentioned,Very Good,4,Fish,Yes,Yes,Tilapia ,,Try different recipes with different flavors,Texture,"Nutritional benefits, Health benefits",Increased,High consumption ,No,No,,Strongly agree,3-4 times a week,Two meals,3,Fried fish,More than 6 kg,,,,,,,,,,,,,,,,,Fish yield is low,Delivery vehicles,No,,
katupuliyankulama,female,5,15.3,Good,6,Eggs,No,Yes,Theppili ,,Explaining the benefits of eating fish,Not mentioned ,Freshness,No change,,No,No,,Strongly agree,Twice a week,Two meals,1,Fried fish,,2 - 4 kg,,,,,,,,,,2 - 4 kg,Theppili ,,,,,Expensive,Delivery vehicles,No,,
parasangaswewa,female,4,15.5,Excellent,4,Eggs,Yes,Yes,Tilapia ,,"Serve with their favorite foods, Try different recipes with different flavors, Explaining the benefits of eating fish",Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,1,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Directly from fishermen,No,,
katupuliyankulama,female,4,14.1,not mentioned,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Theppili ,,,Milder taste,Taste,No change,,No,No,,Agree,Twice a week,Two meals,1,Curry (Chilled),,,,Less than 2 kg,,,,,,,,,,,,,,Not mentioned ,Directly from fishermen,No,,
katupuliyankulama,female,5,19,Very Good,4,Fish,Yes,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",As a food habit,Nutritional benefits,No change,,No,No,,Strongly agree,3-4 times a week,Three meals,2,Curry (Chilled),4 - 6 kg,,,,,,,,,,,More than 6 kg,Theppili ,1 - 1.5 kg,Less than 0.5 kg,,,Expensive,Fish stall,No,,
katupuliyankulama,female,4,16.4,Excellent,5,Fish,Yes,Yes,Tilapia ,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Agree,Few times a month,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
mankadawala,female,4,not mentioned,not mentioned,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Due to Corona,No,No,,Agree,3-4 times a week,One meal,2,Fried fish,Less than 2 kg,,Less than 2 kg,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Fair,No,,
parasangaswewa,female,3,12.7,Good,3,"Fish, Eggs",Yes,Yes,Korali ,,,Milder taste,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,3-4 times a week,Two meals,1,"Curry (Chilled), Fried fish",,4 - 6 kg,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
katupuliyankulama,male,10,17,not mentioned,4,Fish,Yes,No,Not mentioned,Presence of so many bones,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandurugasdamana,female,3,10.3,not mentioned,4,Fish,No,Yes,Not mentioned,,Serve with their favorite foods,Milder taste,Nutritional benefits,Decreased,,No,No,,Strongly agree,Few times a month,Three meals,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
pandukabhayapura,female,6,21,Good,4,Fish,No,Yes,Not mentioned,,Try different recipes with different flavors,Not mentioned ,Nutritional benefits,No change,,Yes,No,,Agree,Few times a month,Two meals,2,Curry (With coconut milk),,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,6,27,Good,5,Eggs,No,Yes,Not mentioned,,Try different recipes with different flavors,Not mentioned ,Nutritional benefits,Decreased,Economic difficulties ,Yes,No,,Agree,Few times a month,Two meals,,Fried fish,,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
pandukabhayapura,female,9,23,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Maybe,Yes,Kawayya,,,Awareness of nutritional quality,"Nutritional benefits, Cheaper than other protein sources, Health benefits, Freshness, Readily available",No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,More than 6 kg,Less than 2 kg,Less than 2 kg,2 - 4 kg,Less than 2 kg,,4 - 6 kg,,,,,Less than 2 kg,Lellu,More than 2 kg,More than 2 kg,,,Less fishing these days,Directly from fishermen,No,,
kandurugasdamana,female,9,24,Very Good,4,Eggs,Yes,No,Not mentioned,,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandurugasdamana,female,9,20,Very Good,4,Eggs,Yes,No,Not mentioned,,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandurugasdamana,female,9,18,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,,As a food habit,Freshness,No change,,Yes,No,,Strongly agree,3-4 times a week,Three meals,3,Fried fish,4 - 6 kg,,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,male,9,27,Good,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,As a food habit,Freshness,Increased,The number of family members increased ,Maybe,No,,Agree,Few times a month,Two meals,2,Fried fish,,4 - 6 kg,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
pandukabhayapura,male,8,26,Very Good,5,"Fish, Eggs",Yes,Yes,Loolla ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,Nutritional benefits,No change,,Yes,No,,Neither agree nor disagree,3-4 times a week,Two meals,2,Fried fish,,,,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
pandukabhayapura,male,6,15,Excellent,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Theppili ,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Three meals,2,Fried fish,,More than 6 kg,,More than 6 kg,,,,,,,,,,More than 2 kg,,,,Less fishing these days,Directly from fishermen,No,,
kandurugasdamana,female,5,not mentioned,not mentioned,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,1 - 1.5 kg,,,,Less fishing these days,Directly from fishermen,No,,
kandurugasdamana,male,5,25,not mentioned,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,1 - 1.5 kg,,,,Less fishing these days,Directly from fishermen,No,,
pandukabhayapura,male,6,not mentioned,Excellent,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Loolla ,,Involving child in choosing or cooking the fish,As a food habit,Nutritional benefits,No change,,Maybe,No,,Strongly agree,3-4 times a week,One meal,2,Fried fish,,,,Less than 2 kg,,,,,,,,,,,0.5 - 1 kg,,,Less fishing these days,Directly from fishermen,No,,
pandukabhayapura,male,6,not mentioned,Fair,7,Fish,Yes,Yes,Not mentioned,,Serve with their favorite foods,As a food habit,Readily available,Decreased,Higher prices,No,No,,Agree,Once a week,One meal,2,Curry (Chilled),4 - 6 kg,,,,,,,,,,,,,,,More than 2 kg,,Expensive,Delivery vehicles,No,,
pandukabhayapura,female,9,not mentioned,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Loolla ,,,Awareness of nutritional quality,Freshness,Decreased,Economic difficulties ,No,No,,Agree,Few times a month,Two meals,1,Fried fish,2 - 4 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,No purchasing,No purchasing,,,Expensive,Fish stall,No,,
kandurugasdamana,female,6,17,Excellent,5,Fish,No,Yes,Theppili ,,Try different recipes with different flavors,As a food habit,As a habit,No change,,No,No,,Agree,Twice a week,Two meals,1,Fried fish,,,,,,,,,,,,2 - 4 kg,,0.5 - 1 kg,,,,Less fishing these days,Not mentioned ,No,,
kandurugasdamana,female,7,21,Good,4,"Fish, Eggs",Yes,Yes,Theppili ,,Try different recipes with different flavors,As a food habit,Nutritional benefits,Increased,Change of residence ,Yes,No,,Agree,3-4 times a week,Three meals,,Fried fish,,,,,,,,,,,,More than 6 kg,Theppili ,,,,,Preparation time is high,Directly from fishermen,No,,
kandurugasdamana,female,7,18,Good,4,Eggs,No,Yes,Not mentioned,,Try different recipes with different flavors,Not mentioned ,Nutritional benefits,Decreased,Economic difficulties ,Maybe,No,,Agree,Not mentioned ,Two meals,2,Curry (With coconut milk),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Directly from fishermen,No,,
pandukabhayapura,male,7,19,Very Good,5,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Strongly agree,3-4 times a week,One meal,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,,No purchasing,,,Fish yield is low,Not mentioned ,No,,
pandukabhayapura,female,7,17,Excellent,4,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,As a habit,Decreased,,No,No,,Agree,Once a week,One meal,1,Curry (Chilled),2 - 4 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,female,7,25,Very Good,6,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Curry (With coconut milk),More than 6 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,7,17,Very Good,6,Fish,Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Strongly agree,3-4 times a week,One meal,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,,More than 2 kg,,,Fish yield is low,Not mentioned ,No,,
pandukabhayapura,female,7,15,Very Good,6,Fish,No,Yes,Theppili ,,,As a food habit,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,3-4 times a week,Three meals,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,,0.5 - 1 kg,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,male,7,20,Good,3,Eggs,No,No,Not mentioned,Dislike of the taste or texture,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandurugasdamana,male,7,19,Good,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Loolla ,,Try different recipes with different flavors,Milder taste,Nutritional benefits,Decreased,Economic difficulties ,Yes,No,,Agree,Few times a month,Two meals,2,Fried fish,,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,10,22,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,No,Not mentioned,Allergies,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandurugasdamana,female,7,17,Good,4,Eggs,No,No,Not mentioned,,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandukabhayapura,male,6,not mentioned,not mentioned,4,"Fish, Eggs",Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Readily available,No change,,Maybe,Maybe,,Agree,3-4 times a week,Two meals,1,Fried fish,More than 6 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Not mentioned ,Wholesale,No,,
mahawewa,male,6,18,Good,4,Eggs,No,Yes,Not mentioned,,,As a food habit,Cheaper than other protein sources,Decreased,Expensive ,No,No,,Neither agree nor disagree,Once a week,One meal,2,Fried fish,4 - 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
pandukabhayapura,female,7,not mentioned,Very Good,4,Not mentioned ,No,No,Not mentioned,Unpleasant smell,Explaining the benefits of eating fish,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandukabhayapura,male,6,17,Very Good,5,"Fish, Eggs",Yes,Yes,Loolla ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,Nutritional benefits,No change,,Yes,No,,Agree,3-4 times a week,Two meals,2,Fried fish,,,,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,6,21,not mentioned,4,"Fish, Eggs",No,Yes,Tilapia ,,,Milder taste,Freshness,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,2 - 4 kg,,,Less than 2 kg,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,5,16,Very Good,3,"Fish, Eggs",Yes,No,Not mentioned,Unpleasant smell,Serve with their favorite foods,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandukabhayapura,female,9,25,not mentioned,not  mentioned,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Cheaper than other protein sources,Increased,,No,No,,Agree,3-4 times a week,Two meals,2,Curry (Chilled),2 - 4 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,female,10,24,Very Good,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,As a food habit,Freshness,Increased,The number of family members increased,Maybe,No,,Agree,Few times a month,Two meals,2,Fried fish,4 - 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,female,10,19,Good,6,Fish,Yes,Yes,Tilapia ,,,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Strongly agree,3-4 times a week,One meal,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,,More than 2 kg,,,Fish yield is low,Not mentioned ,No,,
kandurugasdamana,male,9,not mentioned,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Tilapia ,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,Less than 2 kg,,,2 - 4 kg,,,Less than 2 kg,,,,,,,,1 - 1.5 kg,,,Expensive,Directly from fishermen,No,,
pandukabhayapura,female,10,20,Fair,4,Fish,Yes,Yes,Not mentioned,,,As a food habit,As a habit,No change,,Yes,No,,Agree,3-4 times a week,One meal,2,"Curry (Chilled), Fried fish",,,,,,,,,,,,,,No purchasing,,,,Expensive,Directly from fishermen,No,,
mahawewa,male,8,25,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Loolla ,,,As a food habit,Taste,No change,,No,No,,Agree,Once a week,Two meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,5,18,Very Good,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,As a food habit,Freshness,Increased,the number of family members iincreased ,Maybe,No,,Agree,Few times a month,Two meals,2,Fried fish,4 - 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,male,6,not mentioned,Excellent,4,Eggs,Yes,Yes,Not mentioned,,Serve with their favorite foods,Awareness of nutritional quality,Readily available,No change,,No,No,,Agree,Once a week,One meal,2,Fried fish,,,,,,,,,,,,,,,,,,Expensive,Fish stall,No,,
kandurugasdamana,female,6,not mentioned,not mentioned,4,"Fish, Eggs",No,Yes,Tilapia ,,,Milder taste,Freshness,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,2 - 4 kg,,,Less than 2 kg,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,10,24,Excellent,5,Fish,No,Yes,Theppili ,,,As a food habit,As a habit,No change,,No,No,,Agree,Twice a week,Two meals,1,Fried fish,,,,,,,,,,,,2 - 4 kg,,0.5 - 1 kg,,,,Expensive,Not mentioned ,No,,
kandurugasdamana,female,8,22,Very Good,5,Fish,Yes,Yes,Not mentioned,,,Milder taste,"Cheaper than other protein sources, Freshness",No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,2 - 4 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Wholesale,No,,
katupuliyankulama,male,8,20,Good,4,Eggs,No,Yes,Not mentioned,,,As a food habit,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,Twice a week,Two meals,2,Curry (Chilled),2 - 4 kg,,,2 - 4 kg,,,,,,,,,,0.5 - 1 kg,Less than 0.5 kg,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,8,not mentioned,Very Good,3,Eggs,Yes,Yes,Tilapia ,,,Not mentioned ,"Freshness, Readily available",No change,,No,No,,Agree,Few times a month,Three meals,More than 3,Fried fish,4 - 6 kg,,,Less than 2 kg,,,,,,,,,,,,More than 2 kg,,"Expensive, Fish yield is low",Directly from fishermen,No,,
pandukabhayapura,male,7,not mentioned,Good,5,Fish,No,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,2,Curry (With coconut milk),2 - 4 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Fish yield is low,Directly from fishermen,No,,
pandukabhayapura,female,10,25,Fair,6,Fish,No,Yes,Not mentioned,,,As a food habit,Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,3-4 times a week,Three meals,2,Curry (Chilled),More than 6 kg,,,2 - 4 kg,,,,,,,,,,,0.5 - 1 kg,,,Expensive,Directly from fishermen,No,,
pandulagama,female,10,27,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,No,Not mentioned,Unpleasant smell,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandukabhayapura,female,9,19,Excellent,5,Fish,No,Yes,Tilapia ,,Serve with their favorite foods,As a food habit,Readily available,No change,,No,No,,Agree,3-4 times a week,Two meals,1,Fried fish,2 - 4 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Fish yield is low,Not mentioned ,No,,
